Date,Open,High,Low,Close,Adj Close,Volume,Identifier,Moving_Average_Percentage_Return
2023-02-15,0.035891128176035646,0.038275291799341256,0.03682454511514073,0.03929188081919722,0.03929188081919722,0.08707449678191263,Uber,17.159455070636177
2023-02-16,0.03785184786088037,0.039900491949160795,0.039333992219064404,0.03925867263148731,0.03925867263148731,0.07632066337923397,Uber,15.839750694272798
2023-02-17,0.039048220912948815,0.03824211721940488,0.03633082568518606,0.034442674530676363,0.034442674530676363,0.07547126615264864,Uber,10.119927957378373
2023-02-21,0.03180352869960416,0.03213929770780733,0.032653485535976176,0.03254949108008883,0.03254949108008883,0.06468823472030612,Uber,7.430056721013691
2023-02-22,0.03369778180631134,0.03472635823746011,0.035139098087955234,0.03367875951289937,0.03367875951289937,0.06003380335525177,Uber,7.692949018558642
2023-02-23,0.0351600211709299,0.03349916448011137,0.03336852209431468,0.03344626418879528,0.03344626418879528,0.06125381648109329,Uber,6.761237834415285
2023-02-24,0.03153767506425758,0.030580421413070345,0.03105315448638908,0.02989239261172432,0.02989239261172432,0.046121605812000525,Uber,2.9106704759571937
2023-02-27,0.03145458867228478,0.030348249963096117,0.03118935563717451,0.030390591447642397,0.030390591447642397,0.04604894253363249,Uber,2.895169292457144
2023-02-28,0.031703835170999624,0.030845767442980933,0.031546873916343754,0.029427389293471225,0.029427389293471225,0.03962836216970559,Uber,1.608955386338901
2023-03-01,0.03064039527520624,0.029452738743135608,0.030610507240764792,0.02853062885480969,0.02853062885480969,0.03053948004945085,Uber,0.39664043814498323
2023-03-02,0.02768270227270566,0.030182415020599547,0.028363240208231902,0.030855582095850577,0.030855582095850577,0.042360368718027334,Uber,2.0373087418074247
2023-03-03,0.03253464838191344,0.0328026501301887,0.033709011982421586,0.033778396746074,0.033778396746074,0.03248280800105644,Uber,4.120232060021008
2023-03-06,0.03447874825292289,0.03452736136742227,0.033879256926475046,0.03148665169274303,0.03148665169274303,0.04546465014456343,Uber,1.6827091741791338
2023-03-07,0.03203615538448374,0.03416251690249276,0.03302801921735113,0.03235020394369465,0.03235020394369465,0.0674806281027054,Uber,2.0943166600870233
2023-03-08,0.03256787533238043,0.032935323145144,0.03275562990463693,0.03191842148319638,0.03191842148319638,0.03641093837822199,Uber,1.2935901315701914
2023-03-09,0.03389718154072393,0.03257047868021449,0.028533485152285362,0.026305300176898534,0.026305300176898534,0.07441947349316601,Uber,-3.933420398988684
2023-03-10,0.025888142694602996,0.024328354248944396,0.0233920151042738,0.02228643795161939,0.02228643795161939,0.09075676647747671,Uber,-7.6297256157836095
2023-03-13,0.02118573687830202,0.021177439731929145,0.02066805053842026,0.021323235797448218,0.021323235797448218,0.06338029570968134,Uber,-8.532424320997187
2023-03-14,0.029011995803845635,0.028922046683314433,0.028124894688785734,0.026438158267827992,0.026438158267827992,0.09635814303185707,Uber,-4.2206816699293945
2023-03-15,0.025323189457637542,0.024991706671325782,0.025486059089387253,0.025142817221355633,0.025142817221355633,0.0770910932074102,Uber,-5.472001655364009
2023-03-16,0.024525609535792504,0.027197348098475967,0.026047872600306304,0.027667063933813164,0.027667063933813164,0.04925276269765906,Uber,-3.3429819233402367
2023-03-17,0.02715098232480897,0.025771144818694268,0.025911677943949205,0.0245117602945081,0.0245117602945081,0.07267024607966684,Uber,-6.031005936255298
2023-03-20,0.024558842824861267,0.025406300353764753,0.02574142650546743,0.02500996546544864,0.02500996546544864,0.02972027623990429,Uber,-5.479410984365455
2023-03-21,0.02698482221806691,0.02799336088341755,0.028363240208231902,0.02809884639431142,0.02809884639431142,0.04837516282878475,Uber,-2.6264566826655877
2023-03-22,0.027815635428980724,0.026600332183572224,0.025877627656252858,0.023648201708534024,0.023648201708534024,0.06448783006215864,Uber,-6.284376593797046
2023-03-23,0.025489349564379586,0.024875620946338668,0.023323914528881093,0.02251893327572348,0.02251893327572348,0.03850987855610435,Uber,-6.773241051440914
2023-03-24,0.022365496455136965,0.021393030218132724,0.021757640261418673,0.021090740473344142,0.021090740473344142,0.031769115253249776,Uber,-7.585502306916981
2023-03-27,0.022664589718154073,0.02102819207940076,0.021246892440401663,0.020658964347868323,0.020658964347868323,0.0421964615969597,Uber,-7.635688602804115
2023-03-28,0.02100296329632646,0.02043117616449702,0.02070210082611662,0.018832203607723075,0.018832203607723075,0.05934798145394245,Uber,-8.9863507467545
2023-03-29,0.02130205655934358,0.020563842853254768,0.0214511941665798,0.021489308411110037,0.021489308411110037,0.04551276053435049,Uber,-6.152144758546612
2023-03-30,0.024226516272775382,0.02371475737027002,0.023766555280077067,0.02255214779845584,0.02255214779845584,0.03669960071694436,Uber,-4.692544065116146
2023-03-31,0.023960656298827036,0.023698170080301832,0.024890188796343513,0.024246050447671648,0.024246050447671648,0.03193269057852579,Uber,-2.6861072069748757
2023-04-03,0.024226516272775382,0.023399662122849964,0.024743778404234668,0.023448914572139844,0.023448914572139844,0.06081385526138541,Uber,-3.094649740230047
2023-04-04,0.025688749298792175,0.02464344949636444,0.025145562706852018,0.02321641924803575,0.02321641924803575,0.033002068414965065,Uber,-3.030492436217546
2023-04-05,0.022398729744205727,0.02167495721181396,0.022370525956668108,0.022319652474351765,0.022319652474351765,0.03995783539079905,Uber,-3.524814006259893
2023-04-06,0.022332263166068202,0.02252072554046255,0.022472676819757176,0.02251893327572348,0.02251893327572348,0.030812216190174737,Uber,-3.009061691864549
2023-04-10,0.02243195669467272,0.02349916688406644,0.022847223489988758,0.024378902203578655,0.024378902203578655,0.03736916462446358,Uber,-1.0968473028404202
2023-04-11,0.025057329483689196,0.023548916101575897,0.023766555280077067,0.022319652474351765,0.022319652474351765,0.03884034716457271,Uber,-2.783415763652789
2023-04-12,0.023196309666050765,0.022388058851704803,0.02213218043722194,0.020559320779671226,0.020559320779671226,0.03571615799053852,Uber,-4.172670773726048
2023-04-13,0.02201655008921582,0.022852401751653244,0.023119619297131286,0.02338249186169757,0.02338249186169757,0.03277876984719478,Uber,-1.3502616290987615
2023-04-14,0.023595096457672403,0.02295190651286971,0.023936806718558842,0.023515343617604566,0.023515343617604566,0.022069397080595195,Uber,-0.9959133171135087
2023-04-17,0.02651955617110422,0.024842446366402295,0.026320268407448832,0.025508176971411632,0.025508176971411632,0.06637840248289428,Uber,1.1551328341985025
2023-04-18,0.027117742697138437,0.02729684653349488,0.02625217432648444,0.02434568768084628,0.02434568768084628,0.0447864595464617,Uber,0.2781094971098706
2023-04-19,0.023728029613947453,0.025439462281306037,0.024719943852290052,0.025375318880482188,0.025375318880482188,0.028606105971594308,Uber,1.4823284148195246
2023-04-20,0.02429298285091292,0.024344941538912583,0.025537131273717623,0.023581772663069288,0.023581772663069288,0.025039633007310793,Uber,0.037049991995958875
2023-04-21,0.023761262903016216,0.022421220779246073,0.019782762541599982,0.021356450320180593,0.021356450320180593,0.11726559125014684,Uber,-1.9360458056820307
2023-04-24,0.02150144995515439,0.021094522260680853,0.021553338535240538,0.020858245149240052,0.020858245149240052,0.03117486899043168,Uber,-2.3686525141330397
2023-04-25,0.02037154348122348,0.019137639573473083,0.01925159623793614,0.017237944526704355,0.017237944526704355,0.05042897877900476,Uber,-5.714285992118146
2023-04-26,0.0182446636896367,0.017976782323601972,0.018948553223538403,0.017536868896273167,0.017536868896273167,0.030116108619324723,Uber,-5.157537950959289
2023-04-27,0.01947426369217214,0.018142617266098556,0.018114337411048495,0.017603297941737903,0.017603297941737903,0.07330463963327276,Uber,-4.86359355708696
2023-04-28,0.017978803715688354,0.02179104293680106,0.018778308279484957,0.02208715081522521,0.02208715081522521,0.07736051139021774,Uber,-0.3604812782829368
2023-05-01,0.025888142694602996,0.027529017983469108,0.02676291565307312,0.027700284791567976,0.027700284791567976,0.14820223086218468,Uber,4.954964088006665
2023-05-02,0.03592436780370618,0.03955223477419947,0.035173141881223266,0.04025508297336839,0.04025508297336839,0.3244733903093067,Uber,16.501138058911177
2023-05-03,0.04167359370196528,0.04527362253089932,0.042391634017714244,0.04463929861368108,0.04463929861368108,0.21029349992136445,Uber,20.07615756127948
2023-05-04,0.04409956675656917,0.04344941285864685,0.043532302419471355,0.04347682199316063,0.04347682199316063,0.13145417468782997,Uber,18.218993460759624
2023-05-05,0.04409956675656917,0.04394693033853165,0.04416221001135481,0.04434037424411225,0.04434037424411225,0.06461988478722933,Uber,18.222434400281244
2023-05-08,0.04522947323050009,0.047197343290565824,0.04623923209983424,0.04792746667893803,0.04792746667893803,0.0855757751910978,Uber,20.5875696755225
2023-05-09,0.04745605922789492,0.04603648604069472,0.04768633360757357,0.045801775234201515,0.045801775234201515,0.047070541776076336,Uber,17.67786721300254
2023-05-10,0.04782160639184602,0.04726367979804347,0.048588643501027845,0.04779460858800859,0.04779460858800859,0.04754998669498876,Uber,18.465658961140218
2023-05-11,0.04795453954812107,0.04802653065544377,0.049167491897437576,0.046565690251978493,0.046565690251978493,0.0375433574150719,Uber,16.44070226839566
2023-05-12,0.04795453954812107,0.04819236559794035,0.04869080085854524,0.046665340155198055,0.046665340155198055,0.05446195662632694,Uber,15.68316883538655
2023-05-15,0.04695756623046521,0.045704803503306475,0.04797576430020675,0.04563570895556213,0.04563570895556213,0.041893200243405405,Uber,14.014107138563519
2023-05-16,0.045595033071654724,0.044610282760913035,0.0461030309490488,0.04331074304447636,0.04331074304447636,0.05517332680359216,Uber,11.258588210115422
2023-05-17,0.04493037996748298,0.04396351762849985,0.0458306416363346,0.04463929861368108,0.04463929861368108,0.04755960877294618,Uber,11.733382839279273
2023-05-18,0.04576119317839678,0.04905472754275467,0.047192614177618886,0.04932243862356257,0.04932243862356257,0.07507775634376965,Uber,14.976759799247525
2023-05-19,0.04998172581110333,0.04905472754275467,0.051125341226193916,0.04908994329945847,0.04908994329945847,0.048277614866044094,Uber,13.882106894852386
2023-05-22,0.04958293901948169,0.05240463892980776,0.05167353592092011,0.04905672244170366,0.04905672244170366,0.07425987971738962,Uber,13.039290025743885
2023-05-23,0.04911768564972252,0.049585406950180766,0.04974632730499065,0.04736282612751032,0.04736282612751032,0.044722754754467804,Uber,10.764116840771562
2023-05-24,0.045993819863276365,0.04630181941821022,0.04722667095974356,0.04503786021642451,0.04503786021642451,0.05598821726784747,Uber,7.998403865781774
2023-05-25,0.047422819600224375,0.04605306067826782,0.04639246164168198,0.0450046520287146,0.0450046520287146,0.044572783056648836,Uber,7.307465765436399
2023-05-26,0.04662524601698113,0.04663348930320336,0.04875890143393796,0.046665340155198055,0.046665340155198055,0.030616456673110148,Uber,8.011687753152799
2023-05-30,0.048253632811138175,0.04762852426297298,0.04651163440140507,0.04370931731726472,0.04370931731726472,0.04294366571972149,Uber,4.972893845302337
2023-05-31,0.04333522012379289,0.04427860022352479,0.044843202776425256,0.04493822298324988,0.04493822298324988,0.09723574290073136,Uber,5.398196055104053
2023-06-01,0.04416603333470669,0.045771140010784146,0.0455071671504334,0.04676497738837269,0.04676497738837269,0.03953313677750638,Uber,6.292468443733948
2023-06-02,0.04915091260018953,0.050381419735122335,0.05141475892997047,0.05091669770458128,0.05091669770458128,0.05312581497341322,Uber,8.919937419917497
2023-06-05,0.05081253902201713,0.05336649930964102,0.0531172343482183,0.05320844275791224,0.05320844275791224,0.06310158724470803,Uber,9.848891536674882
2023-06-06,0.053301657227432186,0.05316748978720809,0.05458136424701998,0.05264381487652943,0.05264381487652943,0.03108827028881497,Uber,8.446719580817929
2023-06-07,0.05327175170429155,0.05157545156492982,0.0500868301819542,0.048458886372610935,0.048458886372610935,0.06122793640934576,Uber,4.1724226717447905
2023-06-08,0.049749099126223745,0.05283581990221495,0.05155096008075588,0.05267702306423934,0.05267702306423934,0.050105809677952376,Uber,6.56149469493451
2023-06-09,0.052640325550586786,0.054063013659563675,0.054887810341858856,0.055101638878544676,0.055101638878544676,0.05551706724372592,Uber,7.423653735645399
2023-06-12,0.056661458448880764,0.05653398846422936,0.058428962329139966,0.05759267106826983,0.05759267106826983,0.03579180743103127,Uber,8.377116900936933
2023-06-13,0.058289857920241356,0.05681592178410816,0.057850113932730235,0.056496610823169216,0.056496610823169216,0.03802114335502615,Uber,6.719468891164812
2023-06-14,0.056794391605155814,0.05601989634677146,0.05676053070416015,0.056031620174961036,0.056031620174961036,0.03277213393136207,Uber,5.926440268759277
2023-06-15,0.05586388486563748,0.06318407467322121,0.058020358876783695,0.0629732970504636,0.0629732970504636,0.12036688651455822,Uber,10.767660048135248
2023-06-16,0.06267655065968997,0.06290215400573751,0.0634342312263661,0.0635047167441365,0.0635047167441365,0.0755850721091794,Uber,10.608449190217081
2023-06-20,0.06167957734203411,0.062255388873324324,0.06169771201485022,0.05902085120060428,0.05902085120060428,0.04887650626994508,Uber,6.777510624831792
2023-06-21,0.060782297552982784,0.06141955900102203,0.06084647430572629,0.0606483311393778,0.0606483311393778,0.05546331632548107,Uber,7.67017477092223
